diameter,thickness,angle,distance,mandrel,result
20.0,1.0,30.0,0.0,0.0,0.0
20.0,1.0,30.0,3.0,1.0,1.0
20.0,1.0,45.0,5.0,0.0,1.0
20.0,1.0,45.0,0.0,1.0,0.0
20.0,1.5,45.0,3.0,0.0,0.0
20.0,1.5,60.0,5.0,1.0,1.0
20.0,1.5,60.0,0.0,0.0,0.0
20.0,1.5,60.0,3.0,1.0,1.0
20.0,2.0,75.0,5.0,0.0,1.0
20.0,2.0,75.0,0.0,1.0,0.0
20.0,2.0,75.0,3.0,0.0,0.0
20.0,2.0,90.0,5.0,1.0,1.0
20.0,2.5,90.0,0.0,0.0,0.0
20.0,2.5,90.0,3.0,1.0,1.0
20.0,2.5,90.0,5.0,0.0,1.0
20.0,2.5,30.0,0.0,1.0,0.0
20.0,3.0,30.0,3.0,0.0,0.0
20.0,3.0,45.0,5.0,1.0,1.0
20.0,3.0,45.0,0.0,0.0,0.0
20.0,3.0,45.0,3.0,1.0,1.0
22.0,1.0,60.0,5.0,0.0,0.0
22.0,1.0,60.0,0.0,1.0,0.0
22.0,1.0,60.0,3.0,0.0,0.0
22.0,1.0,75.0,5.0,1.0,1.0
22.0,1.5,75.0,0.0,0.0,0.0
22.0,1.5,75.0,3.0,1.0,1.0
0.0,1.5,90.0,5.0,0.0,1.0
22.0,1.5,90.0,0.0,1.0,0.0
22.0,2.0,90.0,3.0,0.0,0.0
22.0,2.0,90.0,5.0,1.0,1.0
22.0,2.0,30.0,0.0,0.0,0.0
22.0,2.0,30.0,3.0,1.0,1.0
22.0,2.5,45.0,5.0,0.0,1.0
22.0,2.5,45.0,0.0,1.0,0.0
22.0,2.5,45.0,3.0,0.0,0.0
22.0,2.5,60.0,5.0,1.0,1.0
22.0,3.0,60.0,0.0,0.0,0.0
22.0,3.0,60.0,3.0,1.0,1.0
22.0,3.0,75.0,5.0,0.0,1.0
22.0,3.0,75.0,0.0,1.0,0.0
25.0,1.0,75.0,3.0,0.0,0.0
25.0,1.0,90.0,5.0,1.0,1.0
25.0,1.0,90.0,0.0,0.0,0.0
25.0,1.0,90.0,3.0,1.0,0.0
25.0,1.5,90.0,5.0,0.0,1.0
25.0,1.5,30.0,0.0,1.0,0.0
25.0,1.5,30.0,0.0,1.0,0.0
25.0,1.5,30.0,3.0,0.0,0.0
25.0,1.5,45.0,5.0,1.0,1.0
25.0,2.0,45.0,0.0,0.0,0.0
25.0,2.0,45.0,3.0,1.0,1.0
25.0,2.0,60.0,5.0,0.0,1.0
25.0,2.0,60.0,0.0,1.0,0.0
25.0,2.5,60.0,3.0,0.0,0.0
25.0,2.5,75.0,5.0,1.0,1.0
25.0,2.5,75.0,0.0,0.0,0.0
25.0,2.5,75.0,3.0,1.0,1.0
25.0,3.0,90.0,5.0,0.0,1.0
25.0,3.0,90.0,0.0,1.0,0.0
25.0,3.0,90.0,3.0,0.0,0.0
25.0,3.0,90.0,5.0,1.0,1.0
28.0,1.0,30.0,0.0,0.0,0.0
28.0,1.0,30.0,3.0,1.0,0.0
28.0,1.0,45.0,5.0,0.0,0.0
28.0,1.0,45.0,0.0,1.0,0.0
