diameter,thickness,angle,distance,mandrel,result
34.76441,3.8166423,84.82543,6.543833,0.32335773,0.595975940487498
22.6277,2.2097435,39.515858,3.7771044,0.5347776,0.7154646434600315
22.209904,2.166664,40.10747,3.7474897,0.4578333,0.2255373687774147
24.909506,2.545434,48.81085,4.327675,0.49431813,0.7961827295843148
40.931812,4.8798175,111.92987,8.292542,0.24816597,0.8599716506785099
17.920536,1.9281613,39.249462,3.338433,0.2948823,0.5117896277653601
45.8663,4.934974,104.304634,8.359807,0.52145076,0.8065312794251632
39.196877,4.737903,111.08067,8.100806,0.19535284,0.5119677842041629
17.696808,1.7669535,33.768856,3.0313413,0.34984967,0.745847753332577
58.89513,6.2373395,129.61154,10.444145,0.7420724,0.17951010310214643
24.128532,1.9113188,27.439417,3.3267028,0.63966113,0.7007610813553233
53.256596,4.4009824,62.41659,7.397972,1.394869,0.6342425024938995
27.026974,2.7619264,52.87209,4.6409097,0.50454605,0.06468869062200355
42.284702,4.8371863,107.96407,8.215815,0.37303972,0.9416997476996481
30.336716,3.055972,57.772865,5.134716,0.57451576,0.9999842596379777
27.532707,2.513806,41.801598,4.2472486,0.6125383,0.35109754571373664
26.26257,4.107075,102.941154,6.8188734,-0.18765451,0.890222181943911
32.63828,2.683,38.97072,4.6506596,0.8628222,0.7953690426209986
16.880838,1.791359,35.28235,3.070504,0.3189013,0.5772176937823772
17.322485,1.8182956,38.487865,3.1544776,0.24536633,0.9692698175733673
31.599686,2.6476297,39.385204,4.511458,0.86246234,0.9825478516274749
29.142307,2.9472642,55.789318,4.962413,0.5614416,0.7271921431034544
24.434742,2.9356546,68.385,5.052739,0.1174379,0.9606774511555457
21.331312,2.8118167,64.87055,4.7254715,0.12671709,0.9967700432857665
31.730524,2.3772705,30.762762,4.161854,0.882425,0.674378123411198
20.569223,2.0819795,39.673615,3.5990176,0.41702503,0.5459521517782623
27.866333,2.3739977,35.94045,4.0884495,0.7217568,0.6016300429461173
22.965374,2.6591554,54.179474,4.5097713,0.38386708,0.6930032630906025
49.733112,5.169401,102.7197,8.577447,0.74457204,0.6500941355455433
31.061617,3.4726024,78.67875,5.990983,0.28529444,0.46109246529828996
41.26579,4.6040025,100.429474,7.766634,0.41761678,0.8787165314736292
23.480019,2.3753042,45.505795,4.039783,0.45408392,0.015853966157154287
19.966274,1.4312601,18.788816,2.5420282,0.560725,0.519026956434433
20.228886,2.160808,45.559795,3.7414272,0.2884864,0.9746822286558979
24.701622,2.1932466,35.828674,3.7965624,0.621038,0.7147290498659604
23.616543,2.3736815,45.88332,4.027567,0.45035267,0.46926626339587774
19.112022,1.7577281,30.402575,2.9975436,0.43071824,0.930664198913785
23.128567,2.237783,40.516113,3.8183396,0.48573586,0.7424809721909105
24.002216,2.695644,59.978863,4.6092215,0.22929664,0.3000182187848628
29.543129,3.8967936,91.83268,6.6172695,0.09219487,0.9137784211876191
18.841019,2.3847528,57.247097,4.0816536,0.04721941,0.8582600621296047
56.255016,6.1531634,134.27031,10.416995,0.5620916,0.5829984994695415
25.902569,2.1139467,31.33137,3.699095,0.7267595,0.9651667039693345
29.571484,4.035623,98.40183,6.784358,-0.057908818,0.7665963952878624
25.551212,2.83594,62.51636,4.8403597,0.25179794,0.776603314184891
21.731106,1.8150477,27.386446,3.0711734,0.6031589,0.961985446187545
19.32595,2.24582,51.694336,3.8672583,0.14445248,0.4609668048055727
20.88695,2.4707265,57.047684,4.2454033,0.14589272,0.36715925666158156
21.876408,1.6425596,22.310186,2.8887398,0.61272407,0.5031621117718958
24.392849,3.9357028,99.920296,6.516158,-0.24848238,0.6690035517951937
20.581085,2.5234432,55.641544,4.3152447,0.20647578,0.00762736364883021
36.49245,4.712196,112.67977,7.993435,0.06963372,0.6496331073146477
30.263226,3.136492,61.01949,5.276693,0.5383129,0.2020276050820744
26.40202,2.6981378,51.307766,4.629367,0.5572807,0.145583234420412
